FECHA,PM10,TEMP,HUMEDAD,DIR VIENTO ,Monto V,Velocidad V,Tem/Hum,Tem/Hum/Vient,PRESION ATM,LLUVIA,Intens lluv,RADIACION SOL,Radiac acum,Max Rad,UV Intens,Max UV,DENSIDAD AIRE
ENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEB,27.71,14.35,86.30,12.9 ,1.51,4.43,14.39,13.77,560.36,0.10,0.12,217.42,3.12,251.90,2.63,3.01,0.8771
MAR,20.42,13.90,82.75,10.2 ,2.07,3.76,13.83,13.46,563.85,0.01,0.12,183.08,2.62,217.23,2.04,2.36,0.8832
ABR,12.71,13.55,90.41,11.20,1.25,4.08,13.61,13.04,562.87,0.05,0.58,116.13,1.66,134.96,1.35,1.50,0.88
MAY,15.42,15.77,70.21,7.8 ,0.17,4.24,15.43,14.85,562.32,0.00,0.00,236.69,0.34,237.15,2.57,2.58,0.8737
JUN,18.75,16.49,74.26,9.0 ,0.12,3.16,16.35,16.11,562.42,0.00,0.00,185.08,0.27,185.50,1.85,1.86,0.8706
JUL,9.58,14.53,73.45,7.1 ,0.11,2.97,14.25,14.01,563.20,0.00,0.00,163.50,0.23,163.96,1.39,1.39,0.8838
AGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OCT,15.89,13.20,81.25,6.54,0.65,3.76,13.08,12.54,559.11,0.01,0.13,143.78,1.03,163.77,1.94,2.19,0.88
NOV,21.73,13.13,87.45,7.72,0.58,3.41,13.17,12.64,559.68,0.01,0.12,192.68,1.38,207.00,2.43,2.59,0.88
DIC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUN,22.08,13.62,75.85,7.50,1.60,4.60,13.37,12.60,562.73,0.01,0.14,159.49,2.29,194.51,1.83,2.16,0.88
JUL,22.20,13.84,72.15,4.56,3.28,8.66,13.50,11.13,562.31,0.00,0.00,187.53,2.69,233.62,1.98,2.43,0.88
AGO,12.81,13.75,58.45,3.23,2.76,7.02,13.38,11.34,562.68,0.00,0.01,147.97,2.12,178.07,1.71,2.06,0.88
SEP,23.64,13.69,70.18,3.49,3.41,8.97,13.62,11.11,562.87,0.00,0.00,195.06,2.80,246.37,2.38,3.00,0.88
OCT,33.50,13.56,83.10,5.98,1.21,3.54,13.48,12.87,561.93,0.02,0.24,163.92,2.35,194.75,1.99,2.30,0.88
NOV,25.58,14.46,80.34,7.76,1.04,3.47,14.37,13.95,561.07,0.01,0.22,162.05,2.15,191.87,2.06,2.42,0.91
DIC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEB,27.30,13.81,86.14,2.72,0.80,3.44,13.80,13.34,555.93,0.01,0.08,135.20,1.17,152.22,1.80,2.04,0.87
MAR,32.66,14.58,80.98,3.28,1.44,4.37,14.48,13.87,555.93,0.01,0.09,127.57,1.83,154.51,1.62,1.95,0.87
ABR,28.98,14.60,76.79,4.49,1.50,4.45,14.39,13.79,556.25,0.01,0.09,140.08,2.01,164.07,1.70,1.98,0.87
MAY,19.17,14.62,83.24,4.2 ,1.68,4.72,14.58,13.87,556.16,0.01,0.04,178.63,2.56,223.26,2.14,2.63,0.8647
JUN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OCT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DIC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEB,24.01,17.31,70.45,6.20,0.13,2.91,17.15,16.83,561.32,0.00,0.01,175.49,0.25,175.84,2.15,2.15,0.87
